asset,weight
Stock_1,0.01406093133343156
Stock_2,0.010017684358902722
Stock_3,0.021048524491984903
Stock_4,0.014522868155274291
Stock_5,0.01175867852780475
Stock_6,0.0
Stock_7,0.010126617842808149
Stock_8,0.0
Stock_9,0.0
Stock_10,0.0
Stock_11,0.0
Stock_12,0.0
Stock_13,0.010455334856567997
Stock_14,0.010162182768228762
Stock_15,0.0
Stock_16,0.017897531391280943
Stock_17,0.0
Stock_18,0.010224101036381404
Stock_19,0.0
Stock_20,0.01747075027349869
Stock_21,0.0
Stock_22,0.0
Stock_23,0.0
Stock_24,0.024284495059679292
Stock_25,0.011760618095053771
Stock_26,0.0
Stock_27,0.015888321450392113
Stock_28,0.02541098852460927
Stock_29,0.011589149954909846
Stock_30,0.0165092427115153
Stock_31,0.0
Stock_32,0.0
Stock_33,0.020293829503822185
Stock_34,0.021324807083135507
Stock_35,0.02735104407604946
Stock_36,0.010112638857642013
Stock_37,0.010171711197322613
Stock_38,0.011272770560842665
Stock_39,0.0
Stock_40,0.010049933228688817
Stock_42,0.017418061743868913
Stock_43,0.010103727058925113
Stock_44,0.012018306370319734
Stock_45,0.010131518804056945
Stock_46,0.018617167737558116
Stock_47,0.020295551202948355
Stock_48,0.010139832839555048
Stock_49,0.010685629401860647
Stock_50,0.010442944320898623
Stock_51,0.0
Stock_52,0.01320427918064861
Stock_53,0.0
Stock_55,0.011771394265984824
Stock_56,0.0
Stock_57,0.03159354224373927
Stock_58,0.020162918098848542
Stock_59,0.021651764223112616
Stock_60,0.011276279534599754
Stock_61,0.0
Stock_62,0.010371112484726674
Stock_63,0.04169629607811948
Stock_65,0.0
Stock_66,0.014619309568322436
Stock_67,0.019344523350537948
Stock_68,0.023894255233941383
Stock_69,0.0
Stock_70,0.010197844204982511
Stock_71,0.010080023755865397
Stock_72,0.012109639766985907
Stock_73,0.0
Stock_74,0.0
Stock_75,0.013602912939055203
Stock_76,0.014432082134999163
Stock_77,0.01781685898489928
Stock_78,0.010376408306706874
Stock_79,0.0
Stock_80,0.0
Stock_81,0.0
Stock_82,0.01536455856839201
Stock_83,0.023032192270545156
Stock_84,0.02450050238480987
Stock_85,0.01148527608340845
Stock_86,0.010208335642848171
Stock_87,0.0
Stock_89,0.030785492352040755
Stock_90,0.021431045272895907
Stock_91,0.010668528895829168
Stock_92,0.0
Stock_93,0.015430164292340728
Stock_94,0.0
Stock_95,0.010069264620822513
Stock_96,0.012142632677429977
Stock_97,0.0
Stock_98,0.0
Stock_99,0.023063067762742983
Stock_100,0.0
